Year,Country of origin,Country of origin (ISO),Country,Code,Total
2010,Syrian Arab Rep.,SYR,Egypt,EGY,8
2010,Syrian Arab Rep.,SYR,Australia,AUS,68
2010,Syrian Arab Rep.,SYR,Austria,AUT,505
2010,Syrian Arab Rep.,SYR,Belgium,BEL,229
2010,Syrian Arab Rep.,SYR,Brazil,BRA,5
2010,Syrian Arab Rep.,SYR,Bulgaria,BGR,95
2010,Syrian Arab Rep.,SYR,Canada,CAN,545
2010,Syrian Arab Rep.,SYR,Cyprus,CYP,125
2010,Syrian Arab Rep.,SYR,Czechia,CZE,23
2010,Syrian Arab Rep.,SYR,Denmark,DNK,750
2010,Syrian Arab Rep.,SYR,Ecuador,ECU,9
2010,Syrian Arab Rep.,SYR,Finland,FIN,59
2010,Syrian Arab Rep.,SYR,France,FRA,280
2010,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,499
2010,Syrian Arab Rep.,SYR,Germany,DEU,10518
2010,Syrian Arab Rep.,SYR,Greece,GRC,16
2010,Syrian Arab Rep.,SYR,Hungary,HUN,39
2010,Syrian Arab Rep.,SYR,Ireland,IRL,34
2010,Syrian Arab Rep.,SYR,Iraq,IRQ,254
2010,Syrian Arab Rep.,SYR,Italy,ITA,211
2010,Syrian Arab Rep.,SYR,Jordan,JOR,198
2010,Syrian Arab Rep.,SYR,Kyrgyzstan,KGZ,11
2010,Syrian Arab Rep.,SYR,Kuwait,KWT,5
2010,Syrian Arab Rep.,SYR,Lebanon,LBN,64
2010,Syrian Arab Rep.,SYR,Lithuania,LTU,5
2010,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,10
2010,Syrian Arab Rep.,SYR,Malta,MLT,33
2010,Syrian Arab Rep.,SYR,Netherlands,NLD,1186
2010,Syrian Arab Rep.,SYR,Norway,NOR,186
2010,Syrian Arab Rep.,SYR,New Zealand,NZL,36
2010,Syrian Arab Rep.,SYR,Oman,OMN,7
2010,Syrian Arab Rep.,SYR,Pakistan,PAK,8
2010,Syrian Arab Rep.,SYR,Poland,POL,8
2010,Syrian Arab Rep.,SYR,Qatar,QAT,8
2010,Syrian Arab Rep.,SYR,Romania,ROU,21
2010,Syrian Arab Rep.,SYR,Russian Federation,RUS,5
2010,Syrian Arab Rep.,SYR,Saudi Arabia,SAU,14
2010,Syrian Arab Rep.,SYR,Spain,ESP,35
2010,Syrian Arab Rep.,SYR,Slovakia,SVK,22
2010,Syrian Arab Rep.,SYR,Sweden,SWE,1169
2010,Syrian Arab Rep.,SYR,Switzerland,CHE,694
2010,Syrian Arab Rep.,SYR,Tunisia,TUN,5
2010,Syrian Arab Rep.,SYR,Turkey,TUR,9
2010,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,34
2010,Syrian Arab Rep.,SYR,Ukraine,UKR,42
2010,Syrian Arab Rep.,SYR,United States of America,USA,312
2010,Syrian Arab Rep.,SYR,Yemen,YEM,52
2011,Syrian Arab Rep.,SYR,Egypt,EGY,9
2011,Syrian Arab Rep.,SYR,Armenia,ARM,6
2011,Syrian Arab Rep.,SYR,Australia,AUS,84
2011,Syrian Arab Rep.,SYR,Austria,AUT,903
2011,Syrian Arab Rep.,SYR,Belgium,BEL,312
2011,Syrian Arab Rep.,SYR,Brazil,BRA,6
2011,Syrian Arab Rep.,SYR,Bulgaria,BGR,98
2011,Syrian Arab Rep.,SYR,Canada,CAN,547
2011,Syrian Arab Rep.,SYR,Chad,TCD,5
2011,Syrian Arab Rep.,SYR,Cyprus,CYP,137
2011,Syrian Arab Rep.,SYR,Czechia,CZE,23
2011,Syrian Arab Rep.,SYR,Denmark,DNK,1197
2011,Syrian Arab Rep.,SYR,Ecuador,ECU,11
2011,Syrian Arab Rep.,SYR,Finland,FIN,86
2011,Syrian Arab Rep.,SYR,France,FRA,351
2011,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,693
2011,Syrian Arab Rep.,SYR,Germany,DEU,10155
2011,Syrian Arab Rep.,SYR,Greece,GRC,10
2011,Syrian Arab Rep.,SYR,Hungary,HUN,42
2011,Syrian Arab Rep.,SYR,Ireland,IRL,27
2011,Syrian Arab Rep.,SYR,Iraq,IRQ,323
2011,Syrian Arab Rep.,SYR,Italy,ITA,262
2011,Syrian Arab Rep.,SYR,Jordan,JOR,193
2011,Syrian Arab Rep.,SYR,Kyrgyzstan,KGZ,9
2011,Syrian Arab Rep.,SYR,Kuwait,KWT,10
2011,Syrian Arab Rep.,SYR,Lebanon,LBN,124
2011,Syrian Arab Rep.,SYR,Lithuania,LTU,5
2011,Syrian Arab Rep.,SYR,Latvia,LVA,5
2011,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,11
2011,Syrian Arab Rep.,SYR,Malaysia,MYS,5
2011,Syrian Arab Rep.,SYR,Malta,MLT,80
2011,Syrian Arab Rep.,SYR,Netherlands,NLD,1064
2011,Syrian Arab Rep.,SYR,Norway,NOR,171
2011,Syrian Arab Rep.,SYR,New Zealand,NZL,35
2011,Syrian Arab Rep.,SYR,Oman,OMN,7
2011,Syrian Arab Rep.,SYR,Pakistan,PAK,8
2011,Syrian Arab Rep.,SYR,Poland,POL,10
2011,Syrian Arab Rep.,SYR,Qatar,QAT,8
2011,Syrian Arab Rep.,SYR,Romania,ROU,20
2011,Syrian Arab Rep.,SYR,Russian Federation,RUS,5
2011,Syrian Arab Rep.,SYR,Saudi Arabia,SAU,14
2011,Syrian Arab Rep.,SYR,Spain,ESP,32
2011,Syrian Arab Rep.,SYR,Slovakia,SVK,23
2011,Syrian Arab Rep.,SYR,Sweden,SWE,1206
2011,Syrian Arab Rep.,SYR,Switzerland,CHE,1074
2011,Syrian Arab Rep.,SYR,Tunisia,TUN,11
2011,Syrian Arab Rep.,SYR,Turkey,TUR,19
2011,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,37
2011,Syrian Arab Rep.,SYR,Ukraine,UKR,43
2011,Syrian Arab Rep.,SYR,United States of America,USA,373
2011,Syrian Arab Rep.,SYR,Yemen,YEM,42
2012,Syrian Arab Rep.,SYR,Egypt,EGY,12836
2012,Syrian Arab Rep.,SYR,Argentina,ARG,40
2012,Syrian Arab Rep.,SYR,Armenia,ARM,136
2012,Syrian Arab Rep.,SYR,Australia,AUS,204
2012,Syrian Arab Rep.,SYR,Austria,AUT,1675
2012,Syrian Arab Rep.,SYR,Azerbaijan,AZE,5
2012,Syrian Arab Rep.,SYR,Belgium,BEL,355
2012,Syrian Arab Rep.,SYR,Brazil,BRA,42
2012,Syrian Arab Rep.,SYR,Bosnia and Herzegovina,BIH,5
